sample_id,text,label,model,generation_round
qwen3-8b-0-6fb57f6d43,"Buổi chiều nay, sau khi hoàn thành phần công việc cuối cùng của dự án, mình ngồi lại bên cửa sổ, nhìn dòng người qua lại trên đường, cảm giác nhẹ nhõm và vui vẻ tràn ngập trong lòng. Có lẽ vì đã vượt qua được một thử thách, hay đơn giản chỉ là được ngồi yên, lắng nghe tiếng xe cộ và nghĩ về những điều mình muốn, mình thấy mình đang thực sự tận hưởng khoảnh khắc này.",0,Qwen3-8B,1
llama-3-8b-instruct-3-b799364d86,"Mình không hiểu tại sao mình lại lo lắng đến thế. Mọi thứ đều đã đặt ra, nhưng tim vẫn đập nhanh như thế. Sợ mình không chuẩn bị kịp, sợ mọi thứ vượt ngoài tầm kiểm soát. Mình đã suy nghĩ lại, lại một lần nữa, và lại lo lắng. Mình không hiểu tại sao mình lại sợ thế. Mình biết rằng mình đã làm đủ để có thể tiếp tục, nhưng sự không chắc chắn lại khiến mình lo lắng. Mình không có thể tìm được một cách nào để giải quyết, chỉ có thể chấp nhận và tiếp tục. Mình không hiểu tại sao mình lại sống trong sợ hãi như thế.",3,Llama-3-8B-Instruct,1
qwen3-8b-5-f3b2e28970,"Đang mưa rả rốc giữa trưa, mình đột nhiên thấy một tia nắng chen chân qua đám mây, như là trời đang cố ý nhắn nhủ gì đó. Mình ngước lên, lòng thình thịch như vừa nhận tin vui bất ngờ.",5,Qwen3-8B,1
llama-3-8b-instruct-5-e25b7898d5,"Tôi ngồi yên trong phòng sau khi ăn tối, đột nhiên nghe tin từ gia đình. Giật cả mình, không tin nổi vào tai mình. Phải đọc lại đến hai ba lần mới dám chắc là thật. Mẹ có tin rằng cha bị tai nạn, đang nằm trong bệnh viện. Mình không ngờ sẽ tin này. Mẹ gọi điện đến, nói rằng cha đang trong tình trạng nguy kịch, mình chạy ngay đến bệnh viện để thăm. Mình cảm thấy rất lo lắng và sốc. Chưa bao giờ có chuyện như vậy trong gia đình mình. Tất cả đều quá bất ngờ và khó tin. Mình không ngừng nghĩ đến cha và mẹ, lo lắng về tương lai của gia đình.",5,Llama-3-8B-Instruct,1
qwen3-8b-0-a8684e4fbd,"Hôm nay cả nhà đi dọn dẹp nhà, mình vừa lao động vừa nghĩ đến cái chuyện hôm kia mình ""tự nguyện"" mang thùng rác đi đổ mà không hề hấn gì. Thật sự, cảm giác như đang tham gia một bộ phim hài, nhưng có thật.",0,Qwen3-8B,1
qwen3-8b-5-f335189ea4,"Buổi sáng hôm nay mình mở app tài khoản ngân hàng, thấy cái số dư hiện lên, mình tưởng mình bị mắt mờ, vì mình cứ nghĩ mình đang trong một giấc mộng. Không, không phải giấc mộng, là thật, mình đã nhận được khoản tiền nào đó mà mình không biết mình có. Mình vội vàng kiểm tra lại vài lần, mỗi lần đều thấy con số đó, như một kiểu giật mình giữa chừng, mình tưởng mình bị hắt xì, nhưng không, mình đang đứng trước một tình huống ""được không biết là có"". Mình cười ra tiếng, vì sao mình lại không biết mình có tiền, như kiểu mình là người không có khả năng nhận ra sự giàu có của mình vậy. Có lẽ mình cần phải xem lại cách mình quản lý tài chính, không phải là quản lý, mà là quản lý sự tỉnh táo của mình.",5,Qwen3-8B,1
qwen3-8b-0-6eeb79be7f,"Sáng nay mình được đi họp nhóm với đồng nghiệp, ai cũng hào hứng chia sẻ ý tưởng và góp ý, mình thấy mình thật sự vui vì cảm thấy mọi người đang lắng nghe và trân trọng những gì mình nói. Cả buổi không khí rất dễ chịu, không có ai gò bó hay bắt bẻ, mình thấy mình thật sự được tôn trọng và thấy mình đang tiến bộ hơn trong công việc. Dù chỉ là một buổi họp nhỏ, nhưng mình cảm thấy tự tin hơn, như thể mình đang dần trưởng thành và học cách lắng nghe, suy nghĩ, và chia sẻ một cách tự nhiên. Có lẽ đó là một thành công nhỏ nhưng mình thật sự thấy vui và hài lòng.",0,Qwen3-8B,1
qwen3-8b-2-d00442eb71,"Ngày hôm nay thực sự là một ngày mà tôi muốn xóa sổ khỏi mặt Trái Đất. Tôi đã ngồi trong phòng làm việc suốt cả buổi, tay bấm máy tính, đầu đau như thùng gánh, chỉ vì tôi cố gắng giải thích rằng mình không hiểu một cái gì đó, còn người khác thì chỉ im lặng, rồi nói rằng ""tự hiểu đi"". Tôi không biết tại sao lại có người nào đó phải tự hiểu, như thể tôi không biết tiếng Việt và đang ngồi nghe một bài giảng bằng tiếng Trung. Mình muốn hét lên, muốn bê桌上 cái máy tính, muốn xé hết những file đó ra. Nhưng không, mình chỉ ngồi im, lắc đầu, thở dài, và nghĩ rằng có lẽ mình nên đi uống một ly nước gì đó — nhưng không, mình không uống, vì mình sẽ bị hiểu lầm nữa.",2,Qwen3-8B,1
qwen3-8b-5-2e0171216b,"Sáng nay vừa quay xuống bếp lấy cà phê thì nghe tiếng mẹ kêu toáng lên từ trong nhà, tôi tưởng có chuyện gì lớn, chạy vào thì thấy mẹ đang giơ tay lên trời, mặt đỏ gay, còn tay cầm một cái chén sứ vỡ tan tơi bải. Mấy hôm nay tôi mới biết mẹ ốm, không nghĩ là bà ấy lại lỡ tay đến thế. Không hiểu sao cái chén ấy lại trúng vào chân ghế, như thể nó muốn báo thù hay gì đó. Tôi vừa xem vừa cười, trong lòng lại tự hỏi: ""Lần sau mình có phải dạy mẹ cách dùng chén không?""",5,Qwen3-8B,1
qwen3-8b-1-397c57ca20,"Chiều nay ngồi nhìn cái số tài khoản, đầu óc như muốn tan ra. Mình đã cố gắng lắm rồi mà vẫn không đủ để trang trải, cảm giác như mình đang rơi vào cái hố sâu, không lùi lại được. Chẳng biết làm sao, chỉ biết mình đang lết từng bước, đau đớn nhưng vẫn phải đi.",1,Qwen3-8B,1
llama-3-8b-instruct-6-eb47a3bad3,"Tôi nhớ một khoảnh khắc yesterday. Hôm đó, trời đổ mưa lớn, gió mạnh, ngột ngạt. Tôi ngồi trong phòng, ngắm nhìn ngoài cửa, thấy nước mưa chảy xuống, chảy chảy, chảy. Đừng hỏi tôi có đang làm gì hay không, tôi chỉ có thể ngắm nhìn. Bây giờ, tôi cảm thấy khó khăn để rời khỏi giường, muốn nằm đó thêm một chút, quan sát mưa gió như thế. Maybe that's all.",6,Llama-3-8B-Instruct,1
qwen3-8b-2-4473d9f291,"Tối qua mình giận lắm, không phải vì chuyện gì lớn, chỉ là bị bạn mình hiểu lầm mà không ai lắng nghe. Mình cố giải thích, nhưng họ chỉ quay đi, như thể mình không nói gì. Cảm giác như mình đang nói với gió, thật sự bực quá. Mình không hiểu sao mọi người lại không chịu nghe, có phải vì mình nói chuyện không hay lắm không? Nhưng dù sao, mình cũng muốn nói thật, không muốn im lặng. Chỉ là hôm nay, mình cảm thấy mình thật sự bị bỏ rơi.",2,Qwen3-8B,1
qwen3-8b-4-4ff397cac4,"Sáng nay mình đi học về, thấy cái cây trước cổng trường mình trồng từ năm lớp 5 mà mình thấy buồn quá. Cây nó bị chặt luôn, trùm kín một lớp giấy bìa màu xanh, trông như cái gì đó không sạch sẽ. Mình thấy ghê, không biết sao lại có người làm vậy, cắt cây không cần thông báo gì cả, có lẽ là vì trường muốn xây thêm nhà. Mình vừa đi vừa nghĩ, sao cái cây đó lại bị cắt, nó như thể mình cũng bị cắt mất một phần ký ức vậy. Mình thấy buồn, nhưng cũng không biết làm sao, chỉ có thể đi qua mà không dám nhìn lâu. Mình mong là một ngày nào đó, cái cây đó sẽ được trồng lại, dù là ở đâu chả được, miễn là nó vẫn còn tồn tại.",4,Qwen3-8B,1
qwen3-8b-3-41f4d7fa84,"Sáng nay, mình đã hoàn thành được một phần nhỏ trong dự án dài hạn mà mình đã trao dồi cả tháng nay. Cảm giác như một khối đá nặng nề bỗng nhẹ bẫng, nhưng bên trong vẫn có chút lo lắng, sợ rằng mình chưa đủ tốt để tiếp tục. Thành công nhỏ ấy khiến mình nhận ra rằng, dù vẫn còn sợ, mình vẫn đang tiến gần hơn đến điều mình muốn.",3,Qwen3-8B,1
qwen3-8b-1-3182030ceb,"Hôm nay, tôi ngồi lặng lẽ bên bàn làm việc, tay nắm chặt lấy tờ giấy in lịch ngân hàng, lòng nặng trĩu bởi những con số khô khan trên đó. Tôi không muốn nhìn vào những khoản chi tiêu, nhưng lại không thể nhắm mắt làm ngơ trước sự thật. Tiền bạc như một thứ gì đó đang rút lui dần, từng đồng một, khiến tôi băn khoăn liệu mình có đủ sức đối mặt với những kỳ vọng trong tương lai. Tôi cảm thấy bế tắc, như lạc giữa một cơn gió lạnh, không biết sẽ đi về đâu, hoặc có thể dừng lại ở đâu. Cả ngày qua, tôi chỉ muốn trốn trong im lặng, nhưng không phải vì mệt mỏi, mà vì sự cô độc và đau lòng của bản thân.",1,Qwen3-8B,1
qwen3-8b-2-754cdd317e,"Lúc đó mình đang ngồi trong phòng thi, tay run run cầm bút, đầu óc toàn là những gì mình vừa nghe thầy nói. Thầy đọc đề xong, hỏi mình có hiểu không. Mình gật đầu, nghĩ là mình hiểu rồi. Nhưng sau đó thầy nói một cách nghiêm túc, mình lại hiểu sai, mà không ai chịu nghe mình giải thích. Mình giận dữ, trong lòng nghĩ là mình đã làm gì sai, sao lại bị hiểu lầm. Càng nghĩ càng tức, muốn hét lên, nhưng không dám. Chết thật, mình chỉ muốn quay lại và nói rõ, nhưng biết làm sao bây giờ. Mình ngồi im, tay run run viết tiếp bài thi, mà trong đầu toàn là những lời mình muốn nói.",2,Qwen3-8B,1
qwen3-8b-3-fbea0ad119,"Tôi vẫn còn nhớ rõ cảm giác rát ran ở cổ họng và cào cấu ở lòng bàn tay, như thể cả cơ thể đang cố gắng hét lên nhưng lại bị kẹt lại trong cổ họng. Tôi không biết mình đã khóc bao nhiêu lần trong ngày hôm đó, chỉ biết rằng mỗi lần nghĩ đến cuộc điện thoại cuối cùng, tim mình lại như bị giật mạnh một cú. Bạn đã rời đi, nhưng không phải vì sự chán ghét, mà vì một sự im lặng chằng chịt trong tâm trí tôi. Tôi sợ rằng mình đã làm tổn thương ai đó, sợ rằng những lời nói vội vã của mình sẽ không bao giờ được xóa bỏ. Nhưng điều tồi tệ nhất là tôi không biết làm sao để bắt đầu lại.",3,Qwen3-8B,1
qwen3-8b-1-d326cef550,"Hôm nay mình thấy lòng mình buồn lắm, không biết vì sao. Mình có cảm giác như mất đi một điều gì đó quan trọng, nhưng lại không rõ điều đó là gì. Buổi chiều mình ngồi im lặng, không muốn nói chuyện với ai, ngay cả với bạn bè. Mình biết mình đang dần xa cách, nhưng không muốn ai thấy mình yếu đuì. Mình chỉ muốn giữ im lặng, giữ riêng tư, như thể nếu mình không nói ra thì mọi thứ sẽ không xảy ra. Có lẽ tình bạn đôi khi cũng giống như một cơn mưa, đẹp nhưng cũng để lại ướt và lạnh.",1,Qwen3-8B,1
qwen3-8b-0-17a5c25a17,"Hôm nay mình được làm việc với nhóm của mình, cứ như đang được chơi đùa vậy. Dù có vài lúc căng thẳng vì deadline, nhưng khi mọi người cùng nhau góp ý, cười đùa, mình thấy mình thật sự vui. Cảm giác như mình đang cùng đồng đội chiến đấu, không phải là làm việc, mà là chơi mà vẫn hoàn thành được công việc. Mình thấy thật sự thư giãn và hài lòng với ngày hôm nay.",0,Qwen3-8B,1
qwen3-8b-6-bc9ba36fa4,"Hôm nay mình đã hoàn thành công việc mình đang theo đuổi suốt một tuần nay, dù không phải là điều gì quá lớn lao, nhưng khi nhìn lại thì thấy mình đã thực sự cố gắng và thành công. Cảm giác ấy như một cái kết nhỏ nhưng thật sự khiến mình thấy mình đang tiến được, dù chỉ là từng bước.",6,Qwen3-8B,1
llama-3-8b-instruct-1-3343cd3bb2,"Cả tối vừa qua, em lại ngồi một chỗ, không muốn làm gì. Em nghĩ lại chuyện sáng nay, thì cảm giác cứ buồn, không biết chia sẻ với ai. Lại nghĩ lại, người mình yêu cũng không có thể chia sẻ được. Em cảm thấy rất alone, rất lost. Em không biết mình còn sống vì đâu, vì cái gì. Em chỉ biết mình bị buồn, bị đau, bị chìm trong own sorrow.",1,Llama-3-8B-Instruct,1
llama-3-8b-instruct-3-908a18dbbb,"Tôi vừa mở ứng dụng mạng xã hội, và ngay lập tức cái lo lắng bùng phát trong tôi. Thưa thưa, người khác đã đăng tải những thông tin về tương lai, như thể họ đã có giải pháp cho tương lai, còn tôi thì lại lúng túng không biết nên làm gì. Tim tôi đập nhanh, và tôi sợ mình không chuẩn bị kịp cho ngày mai.",3,Llama-3-8B-Instruct,1
qwen3-8b-0-c0abbe8bb9,"Chiều nay cả nhà cùng đi dạo ở công viên gần nhà,风吹着, không khí dễ chịu khiến tôi cảm thấy thư thả. Ba mẹ và anh em tôi trò chuyện rôm rả, kể chuyện cũ, cười đùa vui vẻ, mỗi lúc một ấm lòng hơn. Tôi không biết mình đã cười bao nhiêu lần, nhưng cảm giác được ở bên những người thân, được tận hưởng từng khoảnh khắc bình dị, thật sự là điều làm tôi cảm thấy hạnh phúc và thỏa mái.",0,Qwen3-8B,1
llama-3-8b-instruct-0-82c3196543,"Hôm nay tôi đi đến tiệm coffee với đồng nghiệp, không phải là đám bạn thân nhưng chúng tôi lại quen nhau qua công tác. Chúng tôi ngồi đó uống cà phê, trò chuyện về chuyện công ty và chuyện trong cuộc sống. Tôi không nghĩ rằng tôi sẽ thấy vui đến thế, nhưng lại cảm thấy nhẹ, không phải là chuyện trong công ty hay chuyện riêng tư. Có lẽ vì chúng tôi cùng có chung một vấn đề là tài chính, chúng tôi lại có thể chia sẻ nhau về những khó khăn và những cách giải quyết. Tôi không thể nhớ hết tất cả những điều chúng tôi nói nhưng lại nhớ rõ là mình đã không có cảm giác sợ hãi hay lo lắng. Tôi nghĩ rằng điều đó có thể là vì chúng tôi đã tìm được cách giải quyết vấn đề và tôi đã cảm thấy nhẹ hơn.",0,Llama-3-8B-Instruct,1
llama-3-8b-instruct-4-b7e21e56c3,"Tôi vẫn không thể quên cái hôm nay, khi tôi đi ra ngoài để cảm nhận chút gió mùa. Đến ngay lúc đó, trời đã tối, và bầu không khí trở nên lạnh lẽo. Tôi đội áo khoác, bước ra ngoài, nhưng cái nhìn đầu tiên tôi gặp lại là một đống rác thải, lợp lại dọc đường. Tôi không hiểu sao con người lại có thể làm chuyện như vậy. Cảm xúc trong tôi là ghê, muốn quay đi ngay lập tức.

Và trong giây lát, tôi đã thấy những người khác nữa, họ cũng đang quăng rác thải ra ngoài. Tôi không hiểu sao họ lại làm vậy, và tôi không muốn dừng lại nữa. Tôi đã quay lại, chạy nhanh chóng về trong nhà, để thoát khỏi cái cảm giác ghê đó.",4,Llama-3-8B-Instruct,1
llama-3-8b-instruct-1-230d4d306f,"Tôi ngồi trong phòng học, ngó ra khỏi cửa sổ, không thấy ai. Buổi chiều này, cảm giác như thế nào, không biết làm gì. Lúc sáng, tôi có nghĩ đến tương lai, nghĩ rằng mình sẽ đi được xa hơn, có thể vượt qua khó khăn. Nhưng giờ, nó chỉ là một niềm tin, không có thật. Tôi lại nhớ về những ngày trước, lúc còn học tốt, lúc còn có niềm tin vào tương lai. Nhưng giờ, nó chỉ là một giấc mơ. Buổi chiều này, tôi không biết làm gì, chỉ ngồi thẫn thờ, nhớ về những ngày trước.",1,Llama-3-8B-Instruct,1
llama-3-8b-instruct-1-83c2876789,"Buổi chiều rồi, mình ngồi không làm gì, vừa ngồi vừa suy nghĩ về những điều đã qua. Lòng chúng mình lại trễu xuống, cảm thấy buồn và chán nhiêm. 

(Mất 2-3 phút để ghi chép lại những điều này, và giờ mình cảm thấy buồn hơn.)",1,Llama-3-8B-Instruct,1
llama-3-8b-instruct-6-7f4681c62d,"Lớn một chút sau khi hoàn thành công việc, tôi cảm thấy vô tư, như được hạ ngã khỏi ngọn núi cao. Từng tưởng rằng sẽ phải dành nhiều thời gian và công sức hơn, nhưng dường như cái ""lù"" đó đã được ""đầu tiên"" rồi. Xin vui, như được thoát ra khỏi cái ""bẫy"" khốn nạn.

Đừng hỏi tôi về kết quả, nó không quan trọng lắm. Nhưng tôi chỉ muốn thấy, có thể mình đã có thể làm được điều đó. Vừa đủ để tôi tin vào khả năng của mình. Nghiên ngàn, sự tự tin đã được nung nấu trong tôi, và tôi thấy giòn ròn ròn như một cái bánh đã được nướng chín. Ah, cái cảm giác này, không thể tả.",6,Llama-3-8B-Instruct,1
qwen3-8b-4-5be9e12671,"Tôi ngồi trong phòng thi, tay run run lướt qua trang giấy, lòng đầy sự chán ghét khi thấy những gì được ghi ở phía sau đề bài — những câu chữ không liên quan, không có ý nghĩa, như thể người khác muốn lừa tôi bằng sự vô nghĩa. Cảm giác ghê rợn, như đang nhìn vào một thứ gì đó không phải của mình.",4,Qwen3-8B,1
llama-3-8b-instruct-3-7933da9191,"Tôi vừa trải qua một khoảnh khắc rất khó chịu. Tôi cảm thấy lo lắng không yên, cứ nghĩ đến ngày mai là tim lại đập nhanh. Sợ mình không chuẩn bị kịp, sợ mọi thứ vượt ngoài tầm kiểm soát. Mẹ tôi đã nói với tôi rằng cần phải có một kế hoạch rõ ràng để đối mặt với tương lai, nhưng tôi lại không thể yên tâm. Tôi lo lắng về tương lai, lo lắng về điều gì sẽ xảy ra nếu tôi không chuẩn bị đủ. Cảm giác này khiến tôi khó khăn để ngủ tonight.",3,Llama-3-8B-Instruct,1
qwen3-8b-2-b15bb1e8b7,"Hôm nay mình giận lắm, thật sự là giận. Mình và người ấy tranh cãi về chuyện cũ, cứ tưởng đã xong, nhưng rồi lại lặp lại. Mình không biết tại sao, có lẽ vì họ vẫn còn nghĩ mình là người vô lý. Mình cố gắng giải thích, nhưng họ chỉ im lặng rồi quay đi. Mình muốn nói ra tất cả, nhưng rồi lại thôi. Càng nghĩ càng thấy mình tệ, vì sao mình không thể giữ bình tĩnh, sao mình không thể nói chuyện một cách nhẹ nhàng hơn. Mình vẫn còn yêu, nhưng không hiểu sao lại đau như vậy.",2,Qwen3-8B,1
llama-3-8b-instruct-4-eb086af4a2,"Tôi vừa gặp một khoảnh khắc khó quên trong ngày hôm nay. Khi mở ứng dụng mạng xã hội, tôi thấy người khác chia sẻ một tấm ảnh hết sức ngầu. Tôi không hiểu sao người ta có thể cho phép mình người khác xem được những hình ảnh như vậy. Dù sao, tôi không thể nào coi đó là một chuyện vui vẻ chút nào. Tôi thấy ghê, thấy xấu hổ, thậm chí muốn quay đi ngay lập tức. Cảm giác trong tôi như là một trận ảm ức, khó chịu, và thậm chí còn hơn thế.",4,Llama-3-8B-Instruct,1
llama-3-8b-instruct-6-772ad9d8fd,"Tôi đã gọi điện cho Emma lúc nửa đêm. Cô ấy đang ở trong một cái làng vùng quê, gần biển. Tôi cho rằng cô ấy sẽ về đây ngay, nhưng lại không quay lại. Cô ấy nói rằng đã có một vài chuyện cần xử lý và phải ở lại một chút lâu hơn.

Tôi không biết mình đã đưa ra quyết định đó vì sao. Có thể là bởi vì tôi có thể tạm thời quên đi những lo lắng và phiền hức của cuộc sống. Hoặc có thể là bởi vì tôi có thể tạm thời yên tâm hơn khi có thể gọi điện cho ai đó. Dù sao, tôi cảm thấy có thể nói được với Emma một cách rất tự nhiên.

Chuyện của chúng tôi trở nên buồn bã một chút, vì chúng tôi đều có nhiều thứ phải lo lắng về. Nhưng có lẽ do là vì chúng tôi đã tìm ra cách để chia sẻ nhau những lo lắng đó, và tôi cảm thấy có thể nhẹ hơn một chút.",6,Llama-3-8B-Instruct,1
qwen3-8b-6-95780fe713,"Buổi sáng hôm nay, tôi thức dậy muộn hơn bình thường, cảm giác cơ thể nặng nề như thể nào đó đã trôi qua vài ngày không nghỉ ngơi. Tôi tự nhủ rằng chỉ cần ngủ thêm một chút, rồi sẽ dậy sớm hơn, nhưng rồi lại chìm vào giấc ngủ. Khi tỉnh dậy, ánh nắng đã lên cao, và tôi cảm thấy rõ ràng rằng mình cần phải nghỉ ngơi, cần phải chăm sóc bản thân nhiều hơn.",6,Qwen3-8B,1
qwen3-8b-3-b2cf55c8e4,"Tay run run khi cầm bút, tôi lướt qua từng trang giấy trắng, lòng như thùng nước đang lắc lư, sợ mình không thể viết ra những gì thật sự cần nói.",3,Qwen3-8B,1
qwen3-8b-5-a359867178,"Sáng nay, tôi nhận được tin nhắn từ người bạn cũ, nói rằng họ đã nhận được học bổng ở nước ngoài. Tôi vừa ngạc nhiên, vừa vui mừng, bởi tôi biết họ đã nỗ lực rất nhiều, và sự thành công này quả thật xứng đáng.",5,Qwen3-8B,1
llama-3-8b-instruct-5-e61e20d51e,"Tôi vừa nhận được tin báo rằng người yêu cũ của tôi đã kết hôn. Tôi ngồi yên, không tin nổi vào tai mình. Phải đọc lại đến hai ba lần mới dám chắc là thật. Tình cảm trong tôi lăn tăn, giật cả mình. Thật sự, tôi không thể tin rằng người đó đã chọn cách sống khác. Tôi cảm thấy như thể đã bị đẩy xuống vực thẳm. Thật đau, thật buồn.",5,Llama-3-8B-Instruct,1
qwen3-8b-4-7b39bf08ea,"Hôm nay mình lại bị dính vào một tình huống khiến mình cảm thấy ghê ghê, thật sự là không hiểu sao mình lại phải chịu đựng những thứ này. Vừa về đến nhà, cả nhà đang ngồi ăn cơm, thì đột ngột mẹ hét lên, bảo ""Có ai ăn kẹo không?"". Mình nghe mà muốn hét lên, nhưng vẫn phải giả vờ vui vẻ, vì ai mà dám nói ra thì sẽ bị bắt ăn kẹo. Trong đầu mình nghĩ, tại sao mọi người lại thích làm như vậy, có phải là vì đói mà không biết chớ gì. Nhìn cả nhà cười đùa, mình chỉ muốn chạy ra ngoài, nhưng rồi lại nghĩ, có lẽ mình cũng nên cố gắng chịu đựng một chút, vì ít nhất thì mình cũng ăn được một miếng kẹo. Thật sự, mình không hiểu tại sao mọi chuyện lại cứ lặp lại như vậy.",4,Qwen3-8B,1
