sample_id,text,label
qwen3-8b-5-46f11ef65b,"Sáng nay đang ngồi làm bài trong công ty thì đột ngột bị trưởng phòng gọi đến văn phòng. Mình tưởng là có lỗi gì, nhưng không ngờ lại được thông báo mình đã được nhận vào làm thực tập chính thức. Đầu tiên là shock, tưởng mình nghe nhầm, phải kiểm tra lại email và tin nhắn vài lần. Cảm giác như mơ, nhưng khi thấy cái lịch làm việc và giấy nhận việc thì mình biết là thật. Nhìn đồng nghiệp thì ai nấy đều vui vẻ, có người còn chúc mừng. Mình chỉ biết cười, không hiểu sao lại cảm thấy hạnh phúc đến vậy.",
qwen3-8b-4-f8239ffe21,"Sáng nay, mình đã hoàn thành được một dự án nhỏ mà mình đã lăn lụy suốt tuần qua. Khi nhìn lại những gì mình đã làm, cảm giác buồn bã và ghê tởm bỗng trào lên. Thành công thật sự có thể đến, nhưng đôi khi mình thấy mình như đang gặm một thứ gì đó dở tệ, không có gì vui vẻ.",
qwen3-8b-1-7027b5bd87,"Hôm nay mình dậy muộn, đầu óc nặng như chèo nước, chân tay tê liệt như vừa qua trận. Không biết vì sao, chỉ là cảm giác mệt mỏi kéo dài, không muốn mở mắt, không muốn ăn uống. Mình tự hỏi liệu có phải vì mệt hay vì lòng mình đang trống rỗng, không còn cảm thấy gì cả.",
qwen3-8b-1-73caca1a26,"Tối nay mình không ngủ được, cứ nghĩ lại chuyện ấy, lòng như vỡ ra, buồn quá không biết làm sao. Mình không hiểu vì sao mình lại yếu đuối thế, nhưng có lẽ vì tình yêu ấy đã thật sự không còn, mà mình lại không dám đối mặt với sự thật.",
llama-3-8b-instruct-3-23f89580c0,"Tôi không bao giờ tin rằng ngày mai sẽ đến, nhưng lại lo lắng đến tận cỡ. Mẹ lại nói với tôi rằng cuộc sống là một chuỗi những quyết định, nhưng tôi lại không biết đâu là quyết định của mình. Giờ, tôi đang lo lắng đến việc đi học, đến việc chọn trường, đến việc chọn con đường học tập... Tất tần tật đều bị kiểm soát bởi quyết định của mình. Có khi nào tôi cảm thấy mình bị nhấn chìm trong những lo lắng đó. ðŸ¤¸",
llama-3-8b-instruct-1-75d172aee4,"Mẹ gọi tên tôi vào tối hôm qua, nhưng tôi không đáp. Cậu dâu họ đang ở lại nhà, và họ lại nói nhau. Tôi không hiểu sao, nhưng cảm giác trong lòng lại trào lên. Tôi không muốn nghe nữa, không muốn thấy họ nữa. Mẹ hỏi tôi tại sao tôi không đáp, tôi không biết trả lời. Cảm giác buồn lại đè lên, và tôi cứ ngồi đó, không dậy.

Tôi không hiểu tại sao họ lại nói nhau thế. Tôi không hiểu tại sao họ lại phải nói nhau. Tôi không hiểu tại sao họ lại không lại để tôi yên. Tôi cảm thấy buồn, mệt, và choáng. Tôi không muốn nghe nữa, tôi không muốn nói nữa. Cảm giác trong lòng cứ trào lên, và tôi cứ khóc.",
llama-3-8b-instruct-2-3d973e7d9d,"Tôi vừa đi khám bệnh và lại bị người khác giải thích sai. Càng tức hơn, chỉ muốn nói thẳng với họ nhưng không dám. Cảm giác như có lửa đốt trong người, khó để kiểm soát.",
llama-3-8b-instruct-2-5498923bb4,"Tôi cảm thấy giận tởm sau một cuộc họp khó khăn với một số công sự. Đến nay, tôi vẫn chưa thể hiểu lý do họ không chịu lắng nghe mình giải thích, dù tôi đã nói rất rõ ràng và cụ thể. Khi nghĩ về vấn đề này, tôi càng tức giận hơn. Tôi chỉ muốn đóng cửa lại và ngồi im một lúc để hạ hỏa. Nhưng sau cùng, tôi biết điều này không phải là giải pháp. Tôi phải tiếp tục làm việc và tìm cách vượt qua khó khăn này.",
qwen3-8b-0-479bdd00f0,"Hôm nay đi làm về thấy buồn quá, không biết vì sao. Dù đã cố gắng quên đi chuyện cũ nhưng cứ nghĩ đến anh ấy là tim như bị ai đó bóp nhẹ, hụt hana. Mình không hiểu vì sao lại để mình đau như thế, có lẽ vì anh ấy quá tốt, quá dịu dàng, khiến mình không thể gạt ra khỏi tâm trí. Buổi tối thì mình cố gắng cười, cố gắng làm như không sao, nhưng trong lòng thì đau thấu. Có những ngày mình muốn khóc, muốn chạy trốn, nhưng rồi lại cười, rồi lại cố gắng sống tiếp. Có lẽ mình cần phải học cách buông bỏ, nhưng sao lại khó thế nhỉ?",
llama-3-8b-instruct-3-b634c1de53,"Tôi lại lo lắng không yên như thường. Đùa với chuyện tương lai, xem xem mình sẽ làm gì sau này. Mẹo của mình không chuẩn bị kịp, sợ mọi thứ vượt ngoài tầm kiểm soát. Nhiệm vụ dự thi của trường chỉ còn vài tuần, và mình lại chưa có kế hoạch cụ thể. Tim mình đập nhanh, thần giã, lo lắng bận tâm. Càng nghĩ về tương lai, càng lo lắng hơn. Mình cần tìm cách tập trung, cần tìm cách giải quyết vấn đề. Mình cần tìm ra con đường cụ thể để hướng tới tương lai.",
llama-3-8b-instruct-1-75961dc968,"Máu ta chảy ảm đạm sau khi xem xét số tiền trong tài khoản. Lại thêm một tháng không có thu nhập, lại thêm một lần phải tính lãi vay. Nghiệp công tác ngày càng khó khăn, nhưng mình lại không dám suy nghĩ đến tương lai.",
llama-3-8b-instruct-3-885a1e02bf,"Tôi mới hoàn thành một đợt thực tập, nhưng cảm giác lo lắng vẫn còn đeo nặng trong tôi. Mớ thoughts cứ kéo tôi về tương lai, về những điều chưa chắc chắn. Vì sao lại phải lo lắng như vậy? Đừng có thể hiểu, nhưng tôi cứ mãi lo lắng về tương lai. Sợ mình không chuẩn bị kịp, sợ mọi thứ vượt ngoài tầm kiểm soát. Nhiên, tôi biết mình không thể thay đổi điều gì, nhưng con tim của tôi vẫn đập nhanh, như thể tôi đang nhớ về những điều lo lắng.",
qwen3-8b-3-f473aac9ff,"Tôi ngồi trước chiếc máy tính, tay run run khi lướt qua từng mục chi tiêu, cảm giác như đang đối mặt với một cuộc kiểm tra không hời hợt. Mỗi con số đều nhắc nhở tôi rằng thời gian đang trôi, và tôi chưa kịp bắt kịp nhịp sống của chính mình.",
qwen3-8b-3-78681a705b,"Tôi ngồi trong phòng trống vắng, tay nắm chặt tờ báo cáo còn nguyên vẹn, lòng đầy lo lắng. Mỗi lần nghĩ đến buổi họp sáng mai, tim lại như muốn trào lên, sợ mình không đủ sức để hoàn thành những gì đã hứa.",
llama-3-8b-instruct-2-6ef4641e3b,"Mẹ gọi điện nói mẹ ơi, mẹ lại dối với con. Cứ nói con có thể hiểu, nhưng thực ra mẹ lại không tin con. Con đã giải thích nhiều lần, nhưng mẹ lại không lắng nghe. Con thậm chí đã ngắt điện, nhưng mẹ lại không để con yên. Con chán nản, không biết mẹ có phải là ai.

Con nhớ ngày xưa, mẹ lại không tin con, con đã buồn lắm. Con cố gắng sống với hiện tại, nhưng con không thể quên. Con không thể quên lần mẹ lại dối với con. Con không thể quên mẹ lại không tin con. Con chán nản, con không biết mẹ có phải là ai. Con cảm thấy mình bị mẹ từ chối, con cảm thấy mình không được tin. Con cảm thấy mẹ lại không hiểu con. Con cảm thấy con không thể nào sống với mẹ.",
qwen3-8b-0-df3eabd89b,"Hôm nay tôi cảm thấy tinh thần mình thật sự nhẹ nhõm và thoải mái. Sau một ngày dài làm việc với nhiều áp lực, tôi đã dành thời gian nghỉ ngơi và chăm sóc bản thân, đặc biệt là tập thể dục nhẹ nhàng và ăn uống điều độ. Cảm giác cơ thể nhẹ nhõm sau khi vận động, cùng với việc được thưởng thức một bữa ăn đơn giản nhưng đầy đủ dinh dưỡng, khiến tôi nhận ra rằng chăm sóc sức khỏe không chỉ là trách nhiệm mà còn là cách để mình tận hưởng cuộc sống. Buổi tối, tôi ngồi xuống đọc một cuốn sách yêu thích, nghe tiếng nhạc dịu dàng và cảm thấy lòng mình thật sự thư giãn, như thể mỗi ngày đều là cơ hội để mình học cách sống chậm lại và trân trọng từng khoảnh khắc.",
qwen3-8b-5-f6f93e7ad1,"Sao lại được điểm cao thế này, mình còn tưởng mình làm sai hết cả mà. Rét lình hình khi thấy kết quả, không ngờ lại có được như thế.",
qwen3-8b-3-28f81aa44a,"Sáng nay mình thức dậy với cảm giác lo lắng không rõ nguyên nhân, cứ như có thứ gì đó đang chờ mình ở góc tối của cuộc đời. Mình không biết mình đang sợ điều gì, nhưng tim đập thình thịch, như thể đang chạy đua với thời gian mà không biết đích đến là gì.",
llama-3-8b-instruct-5-3e5621ab11,"Chợp lên khi nhận được tin tin mừng, cảm giác như giật cả mình. Có lẽ tôi đã không tin nổi vào tai mình nếu không đọc lại hai ba lần. ðŸ’•",
qwen3-8b-4-966c7e915f,"Tôi vẫn còn nhớ rõ hình ảnh đó, ánh mắt lạnh lùng của người em trai, những lời lẽ hằn học và sự lạnh nhạt trong cách anh ấy đối xử với mẹ. Có lẽ vì áp lực công việc, có lẽ vì mệt mỏi, nhưng điều đó không thể giấu được sự vô cảm của anh trong khoảnh khắc ấy. Cảm giác ghê rợn dâng lên từ bên trong, như thể cái nhìn của anh đã chạm vào tận sâu trong lòng tôi, khiến tôi không thể nào quên. Tình yêu gia đình tưởng chừng như đã bị xé toang, và điều đó khiến tôi thấy thật đau lòng. Tôi không hiểu sao, trong một mái nhà, người ta lại có thể để cho cảm xúc của mình lạnh nhạt đến thế.",
llama-3-8b-instruct-3-a3a8598c36,"Tôi ngồi trên giường, mắt nhìn hướng sang tường. Ngày hôm qua, tôi được chẩn đoán mắc bệnh. Giờ đây, tôi cảm thấy lo lắng không yên. Tôi lo lắng về tương lai, lo lắng về việc mình không thể trở lại khỏe mạnh như trước. Từng nghĩ đến ngày mai, tim lại đập nhanh. Tôi lo lắng về việc phải chịu đựng bệnh, lo lắng về việc phải thay đổi cuộc sống.",
qwen3-8b-0-f0a4c6e064,"Hôm nay, cả nhà cùng đi dạo ở công viên gần nhà, ngồi dưới bóng cây, nói chuyện, cười đùa, cảm giác thật nhẹ nhàng và dễ chịu. Mình thấy lòng mình như được nghỉ ngơi, tràn đầy niềm vui và bình yên.",
llama-3-8b-instruct-1-95d79b5567,"Tôi ngồi trên ghế, tay của tôi nắm chặt vào nhau, không biết nên làm gì. Thân của tôi đau đớn, như bị someone đánh giá thấp. Anh tôi gọi tôi nói chuyện, nhưng tôi không có muốn nghe. Tâm trí của tôi đầy rẫy những điều tồi tệ, không có thể bay thoát.",
llama-3-8b-instruct-1-13ed54f2ed,"Tôi vừa hoàn thành một nhiệm vụ nhỏ, nhưng không có cảm giác hân hạnh, chỉ cảm thấy nhẹ nhàng. Lẽ ra tôi nên xúc động hơn, nhưng lại cảm thấy như thể những công lao đó không mang lại kết quả gì.",
qwen3-8b-4-1efa7cc6e2,"Bữa trưa nay, cả nhà đang ăn, thì em thấy anh trai ném một miếng cơm vào cái bát của chị. Chị ấy kêu lên, mặt đỏ bừng, còn anh trai thì cười như không. Em thấy ghét nhất là cái cách họ làm như thể đó là chuyện vui, chứ không phải là làm tổn thương người khác.",
llama-3-8b-instruct-1-74d4433009,"Tôi lại ngồi trong im lặng, không có chút hứng thú nào. Cảm giác buồn ngột ngạt và sâu sắc cứ tràn lên, như một tảng đá chìm vào trong tim. Tôi không hiểu tại sao tôi lại cảm thấy như vậy, như thể toàn bộ thế giới đã biến mất khỏi tầm tay.

Nó có thể do những chuyện hồi tưởng vềesterday, những suy nghĩ và những cảm xúc sâu thẳm đã được đè ngã trong tôi. Tôi lại nhớ đến những lúc anh chị em tôi đã bỏ nhau, những lúc anh bỏ mẹ, những lúc mẹ lại đau ốm. Tất cả những thứ đã được lưu trữ trong tôi, và giờ nó đã trở thành một khối đá chìm trong tim tôi.

Tôi không muốn nghĩ về những điều cũ, nhưng tôi lại không thể quên. Nó cứ lơ lững trong tôi, như một đám mây đen che khu vực, không cho tôi có chút niềm tin về tương lai. Tất cả những điều đã qua, những điều sẽ qua, và tôi lại trở thành người bỏ đói, không có bất kỳ điều gì để tin tưởng.",
llama-3-8b-instruct-3-4107c10927,"Tôi vừa qua một ngày học tập rất dài và đầy căng. Cảm giác lo lắng trong tôi đã trở nên rõ ràng hơn bao giờ hết. Dường như cứ mỗi phút, cứ mỗi giây, tôi đều bị quặc đi về tương lai. Ngày mai, tôi sẽ phải trải qua kì thi quan trọng, và nghĩ đến nó đã khiến tôi cảm thấy rất lo lắng.

Tim tôi đập nhanh, khát khao để tìm ra một giải pháp để tự tin hơn. Nhưng những điều lo lắng cứ tiếp tục xâm nhập vào trí nhớ tôi, làm cho tôi trở nên phân tán và khó tập trung. Tôi cảm thấy mình không chuẩn bị kịp, và những điều lo lắng cứ tiếp tục tăng cao.

Tôi hiểu rằng lo lắng là bình thường, nhưng cảm giác này đã trở nên quá mạnh mẽ trong tôi. Tôi cần tìm ra cách để vượt qua lo lắng và tìm lại sự tự tin. Sắp tới kì thi, tôi hy vọng có thể kiểm soát được cảm giác lo lắng và trở thành người tự tin hơn.",
llama-3-8b-instruct-1-24ee2f1342,"Tôi ngồi yên lặng trong phòng, không thấy hứng thú làm gì. Trông lại những bức tranh cũ, thấy những kỷ niệm buồn. Em của tôi đã qua đời, và tôi không có ai chia sẻ với. Sức khỏe của tôi không ổn, cảm thấy mệt mỏi và chán nản. Không biết tôi sẽ sống bao lâu nữa.

Mọi việc lại trở lại giống như cũ, nhưng tôi không có thể nào quên được. Em của tôi đã chết, và tôi không thể nào chia sẻ với ai. Sức khỏe của tôi không ổn, và tôi cảm thấy mệt mỏi và chán nản. Tôi không biết tôi sẽ sống bao lâu nữa. Cảm thấy rất buồn, rất nhớ em.",
llama-3-8b-instruct-3-1c6afb8759,"Mấy ngày trở lại, tôi lại cảm thấy lo lắng không yên. Nghiệp vụ không xong, còn có nhiều việc phải làm, nhưng tôi lại lo lắng đến ngày mai. Sợ mình không chuẩn bị kịp, sợ mọi thứ vượt ngoài tầm kiểm soát. Tôi cố gắng chặn đứng những suy nghĩ đó, nhưng nó lại chui vào đầu tôi, làm tôi đau đầu. Chánh, tôi tự hỏi, có thể mình sẽ lủng lờ lại không? Mọi thứ sẽ trở thành một mess, và tôi sẽ phải hối hận. Thật là, tôi không tin vào khả năng của mình nữa.",
llama-3-8b-instruct-6-cd660120ee,"Con sóng tối qua, tôi ngồi trên ghế, ngắm nhìn cửa sổ. Dòng sáng lờ lững, gió nhẹ, trời yên ắng. Tôi không nghĩ rằng, trong những khoảnh khắc yên tĩnh như thế, tôi lại thấy được bao nhiêu điều. Tất cả những chuyện đã qua, những tiếc nuối, những hy vọng, những sợ hãi, chúng giờ đã biến thành chỉ một mảng mây, một dải khói, một đóa sầu. Tôi cảm thấy vô vọng, không còn gì để tin, không còn gì để bám.",
llama-3-8b-instruct-5-af7ca21188,"Tôi cứ ngồi yên, đột nhiên nghe được tin báo rằng, anh em họ của tôi sẽ tới thăm. Tôi giật cả mình, không tin nổi vào tai mình luôn. Phải đọc lại đến hai ba lần mới dám chắc là thật. Tôi cảm thấy như được đánh thức, như bị đẩy ra khỏi dòng sông thời gian. Cảm xúc này như một cú đấm vào mặt, khiến tôi khóc sướt. Cái đột nhiên này làm tôi nghĩ lại về cuộc sống, về những điều tưởng chừng đã qua. Ah, cuộc sống là đầy bất ngờ!",
llama-3-8b-instruct-1-2ba5a8e719,"Tôi ngồi trên ghế, nhìn ra ngoài màn hình tivi đang chiếu một bộ phim cũ, không có âm nhạc, không có điện ảnh, chỉ là một bức tranh tĩnh lặng. Ngò lại, tôi không thể nguấy, tôi cứ ngồi đó, suy nghĩ về chuyện lúc sáng. Ai dính vào tôi, ai dính vào tôi? ðŸ’",
qwen3-8b-3-f872c44e49,"Hôm nay, tôi ngồi trước màn hình máy tính, tay run run khi lướt qua những dòng bình luận, những hình ảnh chia sẻ của người khác. Tôi biết mình không phải là ai đó đáng để người khác quan tâm, nhưng vẫn không khỏi thấy sợ – sợ rằng mình sẽ không đủ tốt để tồn tại trong không gian này. Cảm giác như đang đứng giữa dòng người, cố gắng không bị vùi lấp, nhưng lại không biết mình đang chạy về đâu. Tôi không nói ra, không ai biết, nhưng tôi sợ mình sẽ bị quên, bị mất trong dòng chảy của mạng xã hội, nơi mọi thứ đều nhanh chóng biến mất.",
qwen3-8b-5-571e65ce34,"Sáng nay vừa nhận được tin nhắn từ đồng nghiệp rằng tôi đã được đề nghị tham gia dự án mới — đúng là surprise! Không hiểu sao mình lại thấy vui đến mức muốn nhảy lên múa, dù chỉ là trong đầu.",
llama-3-8b-instruct-2-33a03fffc3,"Tôi đang tức đến tận đáy vì Tú yesterday said something so stupid. She just didn't get what I was trying to say and didn't even bother to listen to me explain it. The more I think about it, the angrier I get. I just want to slam the door shut and sit there for a while to calm down. Why can't people just listen to me for once? I'm so sick of being misunderstood.",
qwen3-8b-4-8631b80734,"Buổi sáng nay, tôi có một khoảnh khắc nhỏ khiến tôi cảm thấy thật sự chạnh lòng. Khi tôi đang cố gắng hoàn thành một công việc trong giờ nghỉ trưa, một người đồng nghiệp vô tình làm rơi một mảnh giấy ra sàn. Tôi vừa phải dừng lại để nhặt lên, vừa thấy một cảm giác ghê rợn bỗng dưng len lén vào trong tim. Tôi không hiểu tại sao mình lại cảm thấy như vậy, nhưng sự việc ấy khiến tôi bỗng dưng thấy rõ sự vô tư, thậm chí là thiếu tôn trọng của người khác đối với những điều tưởng chừng nhỏ nhặt. Tôi cố gắng không để cảm xúc đó ảnh hưởng đến công việc, nhưng trong lòng, tôi vẫn không thể xua tan sự ảm đạm đó. Có lẽ, đôi lúc chúng ta cần phải dừng lại và nhìn nhận lại những điều tưởng chừng không quan trọng, bởi đôi khi chúng cũng phản chiếu cả tâm hồn của con người ta.",
qwen3-8b-6-0e4407430d,"Chiều hôm qua, mình ngồi nhìn dòng người qua lại ở bến xe, cảm giác như cả thế giới đang lùi dần ra xa. Có lẽ vì buồn quá, nên mình không muốn ai hỏi han, chỉ cần một mình chìm vào tiếng mưa ngoài hiên, để cảm xúc đó cứ lắng đọng, rồi sẽ qua.",
qwen3-8b-6-1191f730cf,"Chiều hôm ấy, tôi ngồi im lặng bên bàn học, chấm lại đề thi vừa rồi. Những con số, câu chữ trong bài vẫn còn in hằn trong đầu, khiến tôi không thể nào buông bỏ. Tôi không biết mình đã học đến đâu, chỉ biết rằng cảm giác trống rỗng và bế tắc dường như đang len lén nuốt chửng những giây phút yên lặng của tôi.",
qwen3-8b-6-4b5402787b,"Hôm nay mình có cảm giác như mình đã hiểu ai đó rồi. Mình và bạn ấy gặp nhau trong lúc đi học, bắt gặp nhau ở góc hành lang, rồi cười, rồi nói chuyện, cứ như là có cái gì đó đã chờ đợi từ lâu. Mình không biết tại sao mình lại cảm thấy thế, có lẽ vì trong lúc nói chuyện, mình thấy mình đang hào hứng, nói nhiều, cười nhiều, như thể mình đã có một mối quan hệ với cô ấy từ lâu rồi. Cảm giác như mình đang sống một mớ hỗn độn, nhưng lại rất vui. Mình không nói ra, nhưng trong lòng mình thì biết, mình đang thích ai đó, và ai đó cũng đang thích mình. Chắc là mình sẽ không bao giờ dám nói ra, nhưng mình hy vọng mọi thứ sẽ tốt đẹp.",
llama-3-8b-instruct-1-ef05dbfc1f,"Tôi ngồi trên giường, nhìn ngóng trời buổi chiều, chỉ cảm thấy buồn. Lúc sáng, tôi mới đi thăm bác sĩ, nghe bác sĩ nói chuyện về sức khỏe, và tôi chỉ nghe như đứa trẻ nghe tin biếng. Não tôi cứ rung rưng, thấy như không thể chịu được anymore. Lúc này, tôi chỉ muốn nằm trên giường, không muốn làm gì, không muốn gặp ai, không muốn có ai gặp tôi. Cảm giác như bị khóa trong một thế giới riêng, và tôi không thể thoát ra.",
